group_type,group,associations,correct,errors,error_rate,edge_tp,edge_fp,edge_fn,edge_precision,edge_recall,edge_jaccard,source_node_missed,target_node_missed,wrong_association,missing_edge,mean_density,mean_candidate_count,median_candidate_count,mean_candidate_margin,median_candidate_margin,margin_available
overall,all,2121,2032,89,0.041961338991041965,2032,48,89,0.9769230769230769,0.9580386610089581,0.9368372521899493,11,6,44,28,8.034417727487034,,,,,0
dataset_family,44b6,99,97,2,0.020202020202020204,97,0,2,1.0,0.9797979797979798,0.9797979797979798,0,0,0,2,6.0,,,,,0
dataset_family,6bba,2022,1935,87,0.04302670623145401,1935,48,87,0.9757942511346445,0.956973293768546,0.9347826086956522,11,6,44,26,8.13402571711177,,,,,0
density_bin,medium_low,381,362,19,0.049868766404199474,362,12,19,0.9679144385026738,0.9501312335958005,0.9211195928753181,2,0,12,5,7.036745406824147,,,,,0
density_bin,medium_high,521,490,31,0.05950095969289827,490,16,31,0.9683794466403162,0.9404990403071017,0.9124767225325885,5,4,14,8,11.531669865642995,,,,,0
density_bin,low,781,764,17,0.02176696542893726,764,7,17,0.9909208819714657,0.9782330345710627,0.9695431472081218,2,1,6,8,2.1075544174135725,,,,,0
density_bin,high,438,416,22,0.0502283105022831,416,13,22,0.9696969696969697,0.9497716894977168,0.9223946784922394,2,1,12,7,15.310502283105023,,,,,0
margin_bin,unavailable,2121,2032,89,0.041961338991041965,2032,48,89,0.9769230769230769,0.9580386610089581,0.9368372521899493,11,6,44,28,8.034417727487034,,,,,0
outcome,correct,2032,2032,0,0.0,2032,0,0,1.0,1.0,1.0,0,0,0,0,7.957185039370079,,,,,0
outcome,missing_edge,28,0,28,1.0,0,0,28,1.0,0.0,0.0,0,0,0,28,8.928571428571429,,,,,0
outcome,wrong_association,44,0,44,1.0,0,44,44,0.0,0.0,0.0,0,0,44,0,10.272727272727273,,,,,0
outcome,target_node_missed,6,0,6,1.0,0,4,6,0.0,0.0,0.0,0,6,0,0,10.166666666666666,,,,,0
outcome,source_node_missed,11,0,11,1.0,0,0,11,1.0,0.0,0.0,11,0,0,0,9.909090909090908,,,,,0
