group_type,group,ordinary_associations,correct,errors,error_rate,endpoint_matched,candidate_recall,target_top1_rate,ilp_recall,final_edge_recall,causal_errors,detection_miss,scorer_ranking,candidate_threshold,ilp_global,postprocessing_removed,postprocessing_rematch,scorer_ranking_share,candidate_threshold_share,ilp_global_share,postprocessing_removed_share,postprocessing_rematch_share,mean_density,median_competitor_margin
overall,all,4089,3923,166,0.040596722915138175,4052,0.9659427443237907,0.9654491609081934,0.9481737413622903,0.9681638696939783,129,37,70,13,9,19,18,0.5426356589147286,0.10077519379844961,0.06976744186046512,0.14728682170542637,0.13953488372093023,7.095866960136953,0.0
dataset_family,44b6,492,468,24,0.04878048780487805,488,0.9754098360655737,0.9631147540983607,0.9528688524590164,0.9590163934426229,20,4,5,4,2,3,6,0.25,0.2,0.1,0.15,0.3,6.25,0.0
dataset_family,6bba,3597,3455,142,0.03947734222963581,3564,0.9646464646464646,0.9657687991021324,0.9475308641975309,0.9694163860830527,109,33,65,9,7,16,12,0.5963302752293578,0.08256880733944955,0.06422018348623854,0.14678899082568808,0.11009174311926606,7.211565193216569,0.0
density_bin,medium_low,1061,1015,46,0.043355325164938736,1045,0.9732057416267943,0.9722488038277513,0.9578947368421052,0.9712918660287081,30,16,15,4,2,6,3,0.5,0.13333333333333333,0.06666666666666667,0.2,0.1,4.797360980207351,0.0
density_bin,medium_high,906,849,57,0.06291390728476821,893,0.9496080627099664,0.9552071668533034,0.9227323628219485,0.9507278835386338,44,13,19,4,3,9,9,0.4318181818181818,0.09090909090909091,0.06818181818181818,0.20454545454545456,0.20454545454545456,8.926048565121413,0.0
density_bin,low,1219,1205,14,0.011484823625922888,1214,0.9917627677100495,0.984349258649094,0.985172981878089,0.9925864909390445,9,5,6,1,0,0,2,0.6666666666666666,0.1111111111111111,0.0,0.0,0.2222222222222222,2.332239540607055,0.0
density_bin,high,903,854,49,0.05426356589147287,900,0.9388888888888889,0.9422222222222222,0.9122222222222223,0.9488888888888889,46,3,30,4,4,4,4,0.6521739130434783,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,14.390919158361019,0.0
dataset,44b6_0113de3b,50,48,2,0.04,50,1.0,1.0,1.0,0.96,2,0,0,0,0,2,0,0.0,0.0,0.0,1.0,0.0,8.06,0.0
dataset,44b6_0b24845f,49,49,0,0.0,49,1.0,0.9795918367346939,1.0,1.0,0,0,0,0,0,0,0,,,,,,4.73469387755102,0.0
dataset,44b6_341df25f,207,207,0,0.0,207,0.9951690821256038,0.9903381642512077,0.9903381642512077,1.0,0,0,0,0,0,0,0,,,,,,3.3285024154589373,0.0
dataset,44b6_e57ff5c6,186,164,22,0.11827956989247312,182,0.9395604395604396,0.9175824175824175,0.8846153846153846,0.9010989010989011,18,4,5,4,2,1,6,0.2777777777777778,0.2222222222222222,0.1111111111111111,0.05555555555555555,0.3333333333333333,9.413978494623656,0.0
dataset,6bba_05b6850b,845,836,9,0.010650887573964497,843,0.9893238434163701,0.9845788849347569,0.9774614472123369,0.9916963226571768,7,2,4,1,0,0,2,0.5714285714285714,0.14285714285714285,0.0,0.0,0.2857142857142857,2.5846153846153848,0.0
dataset,6bba_05db0fb1,1177,1121,56,0.0475785896346644,1170,0.9487179487179487,0.9572649572649573,0.9367521367521368,0.9581196581196582,49,7,34,5,2,4,4,0.6938775510204082,0.10204081632653061,0.04081632653061224,0.08163265306122448,0.08163265306122448,12.792693288020391,0.0
dataset,6bba_969618f6,652,650,2,0.003067484662576687,652,0.995398773006135,0.995398773006135,0.9892638036809815,0.9969325153374233,2,0,1,0,1,0,0,0.5,0.0,0.5,0.0,0.0,5.398773006134969,0.0
dataset,6bba_fc83837d,923,848,75,0.08125677139761647,899,0.9399332591768632,0.9377085650723026,0.9032258064516129,0.9432703003337041,51,24,26,3,4,12,6,0.5098039215686274,0.058823529411764705,0.0784313725490196,0.23529411764705882,0.11764705882352941,5.611050920910076,0.0
