group_type,group,ordinary_associations,correct,errors,error_rate,endpoint_matched,candidate_recall,target_top1_rate,ilp_recall,final_edge_recall,causal_errors,detection_miss,scorer_ranking,candidate_threshold,ilp_global,postprocessing_removed,postprocessing_rematch,scorer_ranking_share,candidate_threshold_share,ilp_global_share,postprocessing_removed_share,postprocessing_rematch_share,mean_density,median_competitor_margin
overall,all,4089,3872,217,0.05306921007581316,4052,0.9489141164856861,0.9654491609081934,0.9338598223099703,0.9555774925962488,180,37,75,48,21,23,13,0.4166666666666667,0.26666666666666666,0.11666666666666667,0.12777777777777777,0.07222222222222222,7.095866960136953,0.0
dataset_family,44b6,492,458,34,0.06910569105691057,488,0.9405737704918032,0.9631147540983607,0.9159836065573771,0.9385245901639344,30,4,9,9,4,3,5,0.3,0.3,0.13333333333333333,0.1,0.16666666666666666,6.25,0.0
dataset_family,6bba,3597,3414,183,0.05087572977481234,3564,0.9500561167227833,0.9657687991021324,0.936307519640853,0.9579124579124579,150,33,66,39,17,20,8,0.44,0.26,0.11333333333333333,0.13333333333333333,0.05333333333333334,7.211565193216569,0.0
density_bin,medium_low,1061,1005,56,0.0527803958529689,1045,0.9578947368421052,0.9722488038277513,0.9435406698564593,0.9617224880382775,40,16,14,11,6,7,2,0.35,0.275,0.15,0.175,0.05,4.797360980207351,0.0
density_bin,medium_high,906,834,72,0.07947019867549669,893,0.9272116461366181,0.9552071668533034,0.9025755879059351,0.9339305711086227,59,13,20,18,7,9,5,0.3389830508474576,0.3050847457627119,0.11864406779661017,0.15254237288135594,0.0847457627118644,8.926048565121413,0.0
density_bin,low,1219,1196,23,0.018867924528301886,1214,0.9785831960461285,0.984349258649094,0.9744645799011532,0.985172981878089,18,5,8,5,1,2,2,0.4444444444444444,0.2777777777777778,0.05555555555555555,0.1111111111111111,0.1111111111111111,2.332239540607055,0.0
density_bin,high,903,837,66,0.07308970099667775,900,0.92,0.9422222222222222,0.8988888888888888,0.93,63,3,33,14,7,5,4,0.5238095238095238,0.2222222222222222,0.1111111111111111,0.07936507936507936,0.06349206349206349,14.390919158361019,0.0
dataset,44b6_0113de3b,50,48,2,0.04,50,1.0,1.0,1.0,0.96,2,0,0,0,0,2,0,0.0,0.0,0.0,1.0,0.0,8.06,0.0
dataset,44b6_0b24845f,49,49,0,0.0,49,0.9591836734693877,0.9795918367346939,0.9387755102040817,1.0,0,0,0,0,0,0,0,,,,,,4.73469387755102,0.0
dataset,44b6_341df25f,207,206,1,0.004830917874396135,207,0.9903381642512077,0.9903381642512077,0.9903381642512077,0.9951690821256038,1,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,3.3285024154589373,0.0
dataset,44b6_e57ff5c6,186,155,31,0.16666666666666666,182,0.8626373626373627,0.9175824175824175,0.8021978021978022,0.8516483516483516,27,4,8,9,4,1,5,0.2962962962962963,0.3333333333333333,0.14814814814814814,0.037037037037037035,0.18518518518518517,9.413978494623656,0.0
dataset,6bba_05b6850b,845,835,10,0.011834319526627219,843,0.9762752075919335,0.9845788849347569,0.9691577698695136,0.9905100830367735,8,2,2,4,0,0,2,0.25,0.5,0.0,0.0,0.25,2.5846153846153848,0.0
dataset,6bba_05db0fb1,1177,1108,69,0.05862361937128292,1170,0.941025641025641,0.9572649572649573,0.9316239316239316,0.947008547008547,62,7,35,13,1,9,4,0.5645161290322581,0.20967741935483872,0.016129032258064516,0.14516129032258066,0.06451612903225806,12.792693288020391,0.0
dataset,6bba_969618f6,652,649,3,0.004601226993865031,652,0.9923312883435583,0.995398773006135,0.9877300613496932,0.995398773006135,3,0,2,0,1,0,0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,5.398773006134969,0.0
dataset,6bba_fc83837d,923,822,101,0.1094257854821235,899,0.9065628476084538,0.9377085650723026,0.8743047830923248,0.914349276974416,77,24,27,22,15,11,2,0.35064935064935066,0.2857142857142857,0.19480519480519481,0.14285714285714285,0.025974025974025976,5.611050920910076,0.0
