split,delta_voxels,score,delta_vs_baseline,edge_tp,edge_fp,edge_fn,node_recall,dataset_6bba_fc83837d,dataset_6bba_fc83837d_node_recall,dataset_6bba_07e24132,dataset_6bba_07e24132_node_recall
fixed8,-2,0.8062905148367191,-0.11185346344394931,3700,474,403,0.9650778669183577,0.7024788856476342,0.9059561128526645,,
holdout8,-2,0.9045869911876108,-0.06008562767042713,3914,219,212,0.9782865234835969,,,0.7691723363769525,0.9136490250696379
fixed8,-1,0.8951407098994544,-0.023003268381214026,3902,245,201,0.9856064181217555,0.7982766479122847,0.9540229885057471,,
holdout8,-1,0.9589024392465152,-0.005770179611522708,4024,88,102,0.9886712296436158,,,0.8027694372211148,0.9275766016713092
fixed8,0,0.9181439782806684,0.0,3949,187,154,0.989853704577631,0.8588800675562589,0.9749216300940439,,
holdout8,0,0.9646726188580379,0.0,4037,76,89,0.9905593580363464,,,0.8271682915430139,0.935933147632312
fixed8,1,0.9041694698118246,-0.01397450846884385,3927,229,176,0.9893817838603115,0.8330812451049929,0.9749216300940439,,
holdout8,1,0.9567656960300702,-0.007906922827967677,4029,102,97,0.9912674061836205,,,0.8362667053262475,0.9526462395543176
fixed8,2,0.8609065087278961,-0.05723746955277231,3843,349,260,0.9837187352524775,0.8239014230036421,0.9613375130616509,,
holdout8,2,0.9345782745577266,-0.030094344300311326,3993,163,133,0.9896152938399811,,,0.8153791940383621,0.958217270194986
fixed8,3,0.7334725891344498,-0.1846713891462186,3571,752,532,0.9681453515809344,0.7642741279852856,0.9393939393939394,,
holdout8,3,0.8474068376895149,-0.11726578116852304,3837,418,289,0.9827708284163323,,,0.7027006529863516,0.9554317548746518
fixed8,4,0.5640142545298417,-0.35412972375082674,3054,1296,1049,0.9098631429919773,0.5701277912502538,0.8725182863113897,,
holdout8,4,0.6668626904195439,-0.29780992843849396,3309,854,817,0.9091338210998348,,,0.4913124424522671,0.9192200557103064
