group_type,group,ordinary_associations,correct,errors,error_rate,endpoint_matched,candidate_recall,target_top1_rate,ilp_recall,final_edge_recall,causal_errors,detection_miss,scorer_ranking,candidate_threshold,ilp_global,postprocessing_removed,postprocessing_rematch,scorer_ranking_share,candidate_threshold_share,ilp_global_share,postprocessing_removed_share,postprocessing_rematch_share,mean_density,median_competitor_margin
overall,all,4089,3942,147,0.0359501100513573,4052,0.9763079960513327,0.9750740375123396,0.9582922013820335,0.972852912142152,110,37,51,1,32,4,22,0.4636363636363636,0.00909090909090909,0.2909090909090909,0.03636363636363636,0.2,7.095866960136953,0.0
dataset_family,44b6,492,472,20,0.04065040650406504,488,0.9918032786885246,0.9918032786885246,0.9733606557377049,0.9672131147540983,16,4,1,0,6,2,7,0.0625,0.0,0.375,0.125,0.4375,6.25,0.0
dataset_family,6bba,3597,3470,127,0.035307200444815126,3564,0.9741863075196409,0.9727833894500562,0.9562289562289562,0.9736251402918069,94,33,50,1,26,2,15,0.5319148936170213,0.010638297872340425,0.2765957446808511,0.02127659574468085,0.1595744680851064,7.211565193216569,0.0
density_bin,medium_low,1061,1027,34,0.03204524033930255,1045,0.9789473684210527,0.9779904306220095,0.9617224880382775,0.9827751196172249,18,16,9,0,4,2,3,0.5,0.0,0.2222222222222222,0.1111111111111111,0.16666666666666666,4.797360980207351,0.0
density_bin,medium_high,906,852,54,0.059602649006622516,893,0.9675251959686451,0.9686450167973124,0.9395296752519597,0.9540873460246361,41,13,14,1,14,1,11,0.34146341463414637,0.024390243902439025,0.34146341463414637,0.024390243902439025,0.2682926829268293,8.926048565121413,0.0
density_bin,low,1219,1208,11,0.009023789991796555,1214,0.9934102141680395,0.9925864909390445,0.9901153212520593,0.9950576606260296,6,5,3,0,1,0,2,0.5,0.0,0.16666666666666666,0.0,0.3333333333333333,2.332239540607055,0.0
density_bin,high,903,855,48,0.053156146179401995,900,0.9588888888888889,0.9544444444444444,0.93,0.95,45,3,25,0,13,1,6,0.5555555555555556,0.0,0.28888888888888886,0.022222222222222223,0.13333333333333333,14.390919158361019,0.0
dataset,44b6_0113de3b,50,48,2,0.04,50,1.0,1.0,1.0,0.96,2,0,0,0,0,2,0,0.0,0.0,0.0,1.0,0.0,8.06,0.0
dataset,44b6_0b24845f,49,49,0,0.0,49,1.0,1.0,0.9795918367346939,1.0,0,0,0,0,0,0,0,,,,,,4.73469387755102,0.0
dataset,44b6_341df25f,207,207,0,0.0,207,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,,,,,,3.3285024154589373,0.0
dataset,44b6_e57ff5c6,186,168,18,0.0967741935483871,182,0.978021978021978,0.978021978021978,0.9340659340659341,0.9230769230769231,14,4,1,0,6,0,7,0.07142857142857142,0.0,0.42857142857142855,0.0,0.5,9.413978494623656,0.0
dataset,6bba_05b6850b,845,838,7,0.008284023668639054,843,0.9905100830367735,0.9893238434163701,0.9822064056939501,0.9940688018979834,5,2,3,0,1,0,1,0.6,0.0,0.2,0.0,0.2,2.5846153846153848,0.0
dataset,6bba_05db0fb1,1177,1126,51,0.04333050127442651,1170,0.9658119658119658,0.9623931623931624,0.9452991452991453,0.9623931623931624,44,7,27,0,10,1,6,0.6136363636363636,0.0,0.22727272727272727,0.022727272727272728,0.13636363636363635,12.792693288020391,0.0
dataset,6bba_969618f6,652,647,5,0.007668711656441718,652,0.9969325153374233,0.9969325153374233,0.9877300613496932,0.9923312883435583,5,0,0,0,4,0,1,0.0,0.0,0.8,0.0,0.2,5.398773006134969,0.0
dataset,6bba_fc83837d,923,859,64,0.06933911159263272,899,0.9532814238042269,0.9532814238042269,0.9232480533926585,0.9555061179087876,40,24,20,1,11,1,7,0.5,0.025,0.275,0.025,0.175,5.611050920910076,0.0
