dataset,dataset_family,t,gt_source_id,gt_target_id,pred_source_id,pred_target_id,source_detected,target_detected,candidate_recorded,candidate_present,ilp_selected,final_pair_present,final_correct,cause,blended_logit,blended_prob,seed1_logit,seed2_logit,seed1_prob,seed2_prob,source_rank,target_rank,rank_censored,best_competing_source_id,best_competing_prob,competitor_margin,local_density_pred,density_radius_um,source_in_final,target_in_final,bucket,recoverability,conflict,gated_out_from_source,gated_in_to_target,gt_is_source_top1,source_has_wrong_gated_child,source_has_no_gated_child,selected_out,selected_in,best_gated_outgoing_target,best_gated_outgoing_prob,rematch_shares_conflict_node
44b6_12dfb391,44b6,9,115000000080,116000000080,4211.0,4691.0,True,True,True,False,False,False,False,scorer_ranking,0.4104884266853332,0.3256501257419586,0.6656959056854248,0.1552809774875641,0.3304649293422699,0.3093168139457702,1,2,False,4255.0,0.567381739616394,0.2417316138744354,5,15.0,True,True,ranking_below_gate,admit_source_top1,target_taken,0,1,True,False,True,,4255,,,False
44b6_12dfb391,44b6,12,118000000056,119000000056,5882.0,6339.0,True,True,True,False,False,False,False,scorer_ranking,0.4819836020469665,0.2304361313581466,0.75462806224823,0.2093391120433807,0.2095704823732376,0.2415236681699752,2,3,False,5874.0,0.4147173166275024,0.1842811852693557,12,15.0,True,True,ranking_below_gate,needs_ranking_or_lower_gate,both_taken,1,1,False,True,False,6340,5874,6340.0,0.7391314506530762,False
44b6_12dfb391,44b6,14,120000000056,121000000057,6808.0,7281.0,True,True,True,True,False,False,False,ilp_global,-0.4217974841594696,0.617307722568512,-0.1229421347379684,-0.7206528186798096,0.5565796494483948,0.6389206051826477,2,1,False,6808.0,0.617307722568512,0.0,12,15.0,True,True,ilp_global,ilp_contention_repair,source_taken,3,1,False,True,False,7267,,7267.0,0.8453285098075867,False
44b6_12dfb391,44b6,15,121000000057,122000000057,7281.0,7740.0,True,True,True,True,True,True,False,postprocessing_rematch,1.6208925247192385,0.8842257261276245,2.218921184539795,1.0228638648986816,0.9176358580589294,0.823712170124054,1,1,False,7281.0,0.8842257261276245,0.0,13,15.0,True,True,postprocessing_rematch,needs_identity_repair,gt_selected,1,1,True,False,False,7740,7281,7740.0,0.8842257261276245,True
44b6_12dfb391,44b6,16,122000000057,123000000057,7740.0,8215.0,True,True,True,True,True,True,False,postprocessing_rematch,1.8692514896392824,0.8991792798042297,2.4337875843048096,1.3047153949737549,0.9214329719543456,0.8512764573097229,1,1,False,7740.0,0.8991792798042297,0.0,14,15.0,True,True,postprocessing_rematch,needs_identity_repair,gt_selected,1,1,True,False,False,8215,7740,8215.0,0.8991792798042297,False
44b6_12dfb391,44b6,19,125000000063,126000000064,9132.0,9599.0,True,True,True,False,False,False,False,scorer_ranking,0.1318337768316269,0.3151118159294128,0.1686757504940033,0.0949918031692504,0.2590771317481994,0.3710070252418518,1,2,False,9120.0,0.3835095763206482,0.0683977603912353,11,15.0,True,True,ranking_below_gate,admit_source_top1,unmatched,0,0,True,False,True,,,,,False
44b6_12dfb391,44b6,34,140000000045,141000000045,16243.0,16699.0,True,True,True,False,False,False,False,candidate_threshold,-1.2238258123397827,0.2877398729324341,-0.873629093170166,-1.5740225315093994,0.2397420406341552,0.2542690336704254,3,1,False,16243.0,0.2877398729324341,0.0,8,15.0,True,True,candidate_threshold,needs_ranking_or_lower_gate,source_taken,2,0,False,True,False,16742,,16742.0,0.8862959742546082,False
44b6_12dfb391,44b6,34,140000000077,141000000077,16342.0,16854.0,True,True,True,False,False,False,False,scorer_ranking,0.3592261672019958,0.2608005404472351,0.7558852434158325,-0.0374328792095184,0.2834951281547546,0.2380386143922805,1,2,False,16355.0,0.7274514436721802,0.466650903224945,8,15.0,True,True,ranking_below_gate,admit_source_top1,target_taken,0,1,True,False,True,,16355,,,False
44b6_12dfb391,44b6,37,143000000045,144000000045,17722.0,18264.0,True,True,True,False,False,False,False,scorer_ranking,-0.5346027612686157,0.1021522283554077,0.0678487420082092,-1.137054204940796,0.1722541153430938,0.0578037798404693,1,2,False,17760.0,0.8496144413948059,0.7474622130393982,4,15.0,True,True,ranking_below_gate,admit_source_top1,target_taken,0,1,True,False,True,,17760,,,False
44b6_12dfb391,44b6,37,143000000076,144000000076,17871.0,18365.0,True,True,True,True,False,False,False,ilp_global,0.8352065086364746,0.7661277651786804,0.659865140914917,1.0105478763580322,0.6675158143043518,0.80106121301651,2,1,False,17871.0,0.7661277651786804,0.0,9,15.0,True,True,ilp_global,ilp_contention_repair,source_taken,2,1,False,True,False,18392,,18392.0,0.8007787466049194,False
