split,dataset,first_loss_stage,gt_source_id,gt_target_id
fixed8,44b6_0113de3b,short_track_filter,11000000075,12000000075
fixed8,44b6_0113de3b,short_track_filter,12000000075,13000000075
fixed8,44b6_e57ff5c6,short_track_filter,60000000048,61000000048
fixed8,6bba_05db0fb1,short_track_filter,32000517,33000538
fixed8,6bba_05db0fb1,short_track_filter,40000705,41000734
fixed8,6bba_05db0fb1,short_track_filter,41000734,42000757
fixed8,6bba_05db0fb1,short_track_filter,42000757,43000787
fixed8,6bba_05db0fb1,short_track_filter,67001304,68001325
fixed8,6bba_05db0fb1,short_track_filter,77001505,78001525
fixed8,6bba_05db0fb1,short_track_filter,78001525,79001547
fixed8,6bba_05db0fb1,short_track_filter,85001653,86001670
fixed8,6bba_05db0fb1,short_track_filter,89001725,90001748
fixed8,6bba_fc83837d,short_track_filter,23000249,24000260
fixed8,6bba_fc83837d,short_track_filter,24000260,25000268
fixed8,6bba_fc83837d,short_track_filter,25000268,26000278
fixed8,6bba_fc83837d,short_track_filter,26000278,27000289
fixed8,6bba_fc83837d,short_track_filter,84001046,85001059
fixed8,6bba_fc83837d,short_track_filter,85001059,86001076
fixed8,6bba_fc83837d,short_track_filter,86001076,87001089
fixed8,6bba_fc83837d,short_track_filter,87001089,88001102
fixed8,6bba_fc83837d,short_track_filter,66000838,67000846
fixed8,6bba_fc83837d,short_track_filter,67000846,68000857
fixed8,6bba_fc83837d,short_track_filter,68000857,69000868
