split,dataset,gt_source_id,gt_target_id,pred_source_id,pred_target_id,source_in_final_diagnostic,target_in_final_diagnostic,in_raw_geff,in_final_traced,first_loss_stage
fixed8,44b6_0113de3b,11000000075,12000000075,215,435,False,False,True,False,short_track_filter
fixed8,44b6_0113de3b,12000000075,13000000075,435,659,False,False,True,False,short_track_filter
fixed8,44b6_0113de3b,58000000003,59000000003,11332,11603,True,True,True,False,motion_relink
fixed8,44b6_0b24845f,93000000036,94000000036,5726,6060,True,True,True,False,motion_relink
fixed8,44b6_0b24845f,119000000036,120000000036,13787,14085,True,True,True,False,motion_relink
fixed8,44b6_e57ff5c6,24000000056,25000000056,60,150,True,True,True,False,motion_relink
fixed8,44b6_e57ff5c6,26000000056,27000000056,262,375,True,True,True,False,motion_relink
fixed8,44b6_e57ff5c6,52000000020,53000000020,6170,6517,True,True,True,False,motion_relink
fixed8,44b6_e57ff5c6,54000000009,55000000009,6805,7130,False,False,True,False,short_track_filter
fixed8,44b6_e57ff5c6,54000000021,55000000021,6833,7169,True,True,True,False,motion_relink
fixed8,44b6_e57ff5c6,55000000009,56000000009,7130,7459,False,False,True,False,short_track_filter
fixed8,44b6_e57ff5c6,56000000009,57000000009,7459,7770,False,False,True,False,short_track_filter
fixed8,44b6_e57ff5c6,56000000021,57000000021,7485,7809,True,False,True,False,motion_relink
fixed8,44b6_e57ff5c6,57000000009,58000000009,7770,8093,False,True,True,False,motion_relink
fixed8,44b6_e57ff5c6,57000000021,58000000021,7809,8116,False,True,True,False,motion_relink
fixed8,44b6_e57ff5c6,58000000021,59000000021,8116,8429,True,True,True,False,motion_relink
fixed8,44b6_e57ff5c6,61000000009,62000000009,9088,9431,True,True,True,False,motion_relink
fixed8,44b6_e57ff5c6,61000000021,62000000021,9118,9475,True,True,True,False,motion_relink
fixed8,44b6_e57ff5c6,89000000026,90000000026,18425,18678,True,True,True,False,motion_relink
fixed8,6bba_05b6850b,9000072,10000081,622,686,True,True,True,False,motion_relink
fixed8,6bba_05b6850b,65000590,66000602,4360,4442,True,True,True,False,motion_relink
fixed8,6bba_05b6850b,65000591,66000604,4367,4449,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,26000400,27000420,20650,21471,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,26000407,27000426,20774,21621,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,26000410,27000427,20823,21628,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,28000433,29000451,22036,22827,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,31000493,32000518,24624,25425,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,39000680,40000697,31208,31982,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,39000683,40000699,31269,32033,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,39000686,40000704,31355,32148,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,39000689,40000706,31429,32193,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,40000695,41000719,31894,32720,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,40000698,41000726,32038,32868,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,40000705,41000734,32190,33045,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,40000706,41000733,32193,33028,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,77001505,78001525,59712,60403,True,False,True,False,short_track_filter
fixed8,6bba_05db0fb1,78001525,79001547,60403,61081,False,True,True,False,short_track_filter
fixed8,6bba_05db0fb1,93001809,94001830,70751,71434,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,93001821,94001835,70729,71413,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,93001825,94001843,70791,71462,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,93001827,94001845,70908,71587,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,94001830,95001849,71434,72209,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,94001841,95001860,71526,72292,True,True,True,False,motion_relink
fixed8,6bba_05db0fb1,94001843,95001859,71462,72233,True,True,True,False,motion_relink
fixed8,6bba_fc83837d,11000131,12000142,2688,2924,False,False,True,False,short_track_filter
fixed8,6bba_fc83837d,12000138,13000148,2846,3116,True,True,True,False,motion_relink
fixed8,6bba_fc83837d,12000142,13000150,2924,3185,False,False,True,False,short_track_filter
fixed8,6bba_fc83837d,13000150,14000159,3185,3436,False,False,True,False,short_track_filter
fixed8,6bba_fc83837d,14000159,15000170,3436,3669,False,True,True,False,short_track_filter
fixed8,6bba_fc83837d,49000576,50000594,9595,9741,True,True,True,False,motion_relink
fixed8,6bba_fc83837d,65000813,66000826,11748,11885,True,True,True,False,motion_relink
fixed8,6bba_fc83837d,65000819,66000830,11835,11964,True,True,True,False,motion_relink
fixed8,6bba_fc83837d,65000822,66000832,11856,11987,True,True,True,False,motion_relink
fixed8,6bba_fc83837d,65000823,66000833,11857,11991,True,True,True,False,motion_relink
fixed8,6bba_fc83837d,94001184,95001204,16490,16678,True,True,True,False,motion_relink
fixed8,6bba_fc83837d,65000825,66000835,11878,12016,True,True,True,False,motion_relink
fixed8,6bba_fc83837d,22000245,23000260,5304,5503,True,True,True,False,motion_relink
