group_type,group,scored_associations,scored_errors,error_prevalence,budget_count,captured_errors,error_capture,intervention_precision,precision_lift_vs_random,correctness_auroc
dataset_family,44b6,97,0,0.0,5,0,0.0,0.0,,
dataset_family,6bba,1983,48,0.024205748865355523,100,12,0.25,0.12,4.9575,0.7474375538329027
density_bin,high,429,13,0.030303030303030304,22,5,0.38461538461538464,0.22727272727272727,7.499999999999999,0.8154585798816568
density_bin,low,771,7,0.009079118028534372,39,1,0.14285714285714285,0.02564102564102564,2.824175824175824,0.8232984293193717
density_bin,medium_high,506,16,0.03162055335968379,26,4,0.25,0.15384615384615385,4.865384615384616,0.5895408163265307
density_bin,medium_low,374,12,0.03208556149732621,19,4,0.3333333333333333,0.21052631578947367,6.561403508771929,0.7792357274401474
dataset,44b6_0113de3b,50,0,0.0,3,0,0.0,0.0,,
dataset,44b6_0b24845f,47,0,0.0,3,0,0.0,0.0,,
dataset,6bba_05b6850b,838,7,0.008353221957040573,42,1,0.14285714285714285,0.023809523809523808,2.8503401360544216,0.8236204228984012
dataset,6bba_05db0fb1,1145,41,0.03580786026200873,58,13,0.3170731707317073,0.22413793103448276,6.259461732548361,0.7016171792152704
