dataset,dataset_family,t,gt_source_id,gt_target_id,pred_source_id,predicted_target_id,predicted_target_gt_id,matched_gt_target_pred_id,source_node_matched,target_node_matched,source_match_distance_um,target_match_distance_um,correct,outcome,edge_tp,edge_fp,edge_fn,selected_edge_score,selected_edge_distance_um,gt_displacement_um,selected_outgoing_edge_count,persisted_outgoing_edge_count,candidate_export_complete,local_density_pred,density_radius_um,candidate_count,best_candidate_target_id,best_candidate_score,second_candidate_score,candidate_margin,density_bin,margin_bin,selected_for_intervention
6bba_05db0fb1,6bba,51,52000969,53000990,41188.0,41908.0,53000990.0,41908.0,True,True,2.1877232028983924,0.40625,True,correct,1,0,0,0.4896060824394226,5.138701197773616,6.989389279472134,1,1,False,14,15.0,,,,,,high,unavailable,True
6bba_05b6850b,6bba,1,2000017,3000025,149.0,227.0,3000025.0,227.0,True,True,0.5745242597140698,3.494694639736067,True,correct,1,0,0,0.4909293949604034,5.859020822628983,2.29809703885628,1,1,False,1,15.0,,,,,,low,unavailable,True
6bba_05b6850b,6bba,78,79000756,80000768,5643.0,5708.0,80000768.0,5708.0,True,True,2.1877232028983924,5.041429918683786,True,correct,1,0,0,0.4950167238712311,3.25,0.9084026158592896,1,1,False,1,15.0,,,,,,low,unavailable,True
6bba_05db0fb1,6bba,51,52000971,53000994,41327.0,42054.0,,42085.0,True,True,6.953879874753374,6.809990937035085,False,wrong_association,0,1,1,0.5000185370445251,3.6336104634371584,4.021669817998489,1,1,False,16,15.0,,,,,,high,unavailable,True
6bba_05db0fb1,6bba,82,83001613,84001625,63395.0,64082.0,84001625.0,64082.0,True,True,4.0827619710803615,5.202538442914189,True,correct,1,0,0,0.5072299838066101,3.6336104634371584,3.374565944310468,1,1,False,17,15.0,,,,,,high,unavailable,True
6bba_05b6850b,6bba,29,30000257,31000268,2115.0,2177.0,31000268.0,2177.0,True,True,3.471001521535247,2.368824207280903,True,correct,1,0,0,0.5084782242774963,1.625,0.40625,1,1,False,2,15.0,,,,,,low,unavailable,True
6bba_05db0fb1,6bba,30,31000491,32000514,24337.0,25154.0,32000514.0,25154.0,True,True,5.6875,4.908737426772795,True,correct,1,0,0,0.5107188820838928,4.875,3.6787502123683256,1,1,False,6,15.0,,,,,,medium_low,unavailable,True
6bba_05db0fb1,6bba,50,51000948,52000969,40455.0,41215.0,,41188.0,True,True,6.625736987309412,2.1877232028983924,False,wrong_association,0,1,1,0.5119537115097046,4.875,7.187296192762616,1,1,False,14,15.0,,,,,,high,unavailable,True
6bba_05b6850b,6bba,53,54000482,55000494,3766.0,3861.0,55000494.0,3861.0,True,True,1.6750116604071743,0.8125,True,correct,1,0,0,0.5154642462730408,3.9804208320226646,4.318496736423452,1,1,False,3,15.0,,,,,,low,unavailable,True
6bba_05db0fb1,6bba,51,52000979,53001001,41476.0,42269.0,53001001.0,42269.0,True,True,2.0714766773970688,2.4375,True,correct,1,0,0,0.5171478986740112,3.6336104634371584,2.0714766773970688,1,1,False,12,15.0,,,,,,medium_high,unavailable,True
6bba_05db0fb1,6bba,53,54001013,55001035,42652.0,43380.0,55001035.0,43380.0,True,True,1.8168052317185792,1.9902104160113323,True,correct,1,0,0,0.521228015422821,2.8145825622994254,2.4375,1,1,False,13,15.0,,,,,,medium_high,unavailable,True
6bba_05b6850b,6bba,10,11000093,12000101,836.0,909.0,12000101.0,909.0,True,True,3.5648292823780494,3.350023320814349,True,correct,1,0,0,0.5222660303115845,0.0,0.40625,1,1,False,1,15.0,,,,,,low,unavailable,True
6bba_05db0fb1,6bba,62,63001227,64001251,49717.0,50452.0,64001251.0,50452.0,True,True,0.9084026158592896,0.5745242597140698,True,correct,1,0,0,0.5229234099388123,2.8145825622994254,2.1877232028983924,1,1,False,11,15.0,,,,,,medium_high,unavailable,True
6bba_05db0fb1,6bba,57,58001106,59001131,45748.0,46484.0,59001131.0,46484.0,True,True,0.9084026158592896,1.9902104160113323,True,correct,1,0,0,0.5252472758293152,3.6336104634371584,3.65625,1,1,False,10,15.0,,,,,,medium_high,unavailable,True
6bba_05b6850b,6bba,56,57000511,58000521,4041.0,4118.0,58000521.0,4118.0,True,True,2.0714766773970688,3.300390601883359,True,correct,1,0,0,0.5256869792938232,3.6336104634371584,0.8125,1,1,False,3,15.0,,,,,,low,unavailable,True
6bba_05db0fb1,6bba,53,54001027,55001051,43031.0,43741.0,55001051.0,43741.0,True,True,2.0714766773970688,5.343384490423649,True,correct,1,0,0,0.531247079372406,3.25,3.5648292823780494,1,1,False,9,15.0,,,,,,medium_low,unavailable,True
6bba_05b6850b,6bba,15,16000134,17000142,1210.0,1286.0,17000142.0,1286.0,True,True,3.0671202393287422,4.162823748671087,True,correct,1,0,0,0.5317196249961853,1.625,1.7235727791422095,1,1,False,2,15.0,,,,,,low,unavailable,True
6bba_05db0fb1,6bba,61,62001192,63001212,48672.0,49384.0,63001212.0,49384.0,True,True,0.40625,2.6012692214570947,True,correct,1,0,0,0.5320143103599548,4.875,2.4375,1,1,False,7,15.0,,,,,,medium_low,unavailable,True
6bba_05b6850b,6bba,77,78000746,79000758,5586.0,5657.0,79000758.0,5657.0,True,True,4.394265616971737,2.84375,True,correct,1,0,0,0.5340684056282043,2.29809703885628,1.7235727791422095,1,1,False,2,15.0,,,,,,low,unavailable,True
6bba_05b6850b,6bba,45,46000403,47000411,3115.0,3184.0,47000411.0,3184.0,True,True,3.350023320814349,1.86167137607581,True,correct,1,0,0,0.5364057421684265,1.625,0.9084026158592896,1,1,False,4,15.0,,,,,,medium_low,unavailable,True
6bba_05db0fb1,6bba,88,89001729,90001752,67930.0,68609.0,90001752.0,68609.0,True,True,0.9084026158592896,1.86167137607581,True,correct,1,0,0,0.5399588942527771,2.29809703885628,0.0,1,1,False,14,15.0,,,,,,high,unavailable,True
6bba_05b6850b,6bba,2,3000025,4000033,227.0,308.0,4000033.0,308.0,True,True,3.494694639736067,0.9084026158592896,True,correct,1,0,0,0.5410671830177307,3.6336104634371584,0.40625,1,1,False,1,15.0,,,,,,low,unavailable,True
6bba_05b6850b,6bba,53,54000484,55000492,3768.0,3866.0,55000492.0,3866.0,True,True,3.2752922102462856,1.4647552056572457,True,correct,1,0,0,0.541329026222229,3.9804208320226646,3.093907824257213,1,1,False,3,15.0,,,,,,low,unavailable,True
6bba_05db0fb1,6bba,21,22000338,23000356,17639.0,18459.0,,18497.0,True,True,5.138701197773616,6.3066959703556345,False,wrong_association,0,1,1,0.5415040850639343,2.8145825622994254,2.6012692214570947,1,1,False,13,15.0,,,,,,medium_high,unavailable,True
6bba_05b6850b,6bba,58,59000532,60000543,4203.0,4280.0,60000543.0,4280.0,True,True,0.40625,0.8125,True,correct,1,0,0,0.5421976447105408,0.0,0.40625,1,1,False,3,15.0,,,,,,low,unavailable,True
6bba_05b6850b,6bba,19,20000168,21000177,1512.0,1583.0,21000177.0,1583.0,True,True,3.494694639736067,0.9084026158592896,True,correct,1,0,0,0.542317271232605,1.625,1.86167137607581,1,1,False,2,15.0,,,,,,low,unavailable,True
6bba_05db0fb1,6bba,19,20000283,21000300,15537.0,16320.0,21000300.0,16320.0,True,True,0.0,1.86167137607581,True,correct,1,0,0,0.5451503992080688,6.080193253507654,4.241374519244911,1,1,False,15,15.0,,,,,,high,unavailable,True
6bba_05b6850b,6bba,3,4000033,5000042,308.0,383.0,5000042.0,383.0,True,True,0.9084026158592896,1.9902104160113323,True,correct,1,0,0,0.545245885848999,3.6336104634371584,1.6750116604071743,1,1,False,1,15.0,,,,,,low,unavailable,True
6bba_05b6850b,6bba,20,21000177,22000186,1583.0,1644.0,22000186.0,1644.0,True,True,0.9084026158592896,3.65625,True,correct,1,0,0,0.5463690757751465,3.6336104634371584,0.5745242597140698,1,1,False,2,15.0,,,,,,low,unavailable,True
6bba_05db0fb1,6bba,38,39000680,40000697,31214.0,31987.0,40000697.0,31987.0,True,True,0.40625,1.4647552056572457,True,correct,1,0,0,0.5489462614059448,8.75089281159357,8.325647497342175,1,1,False,16,15.0,,,,,,high,unavailable,True
6bba_05db0fb1,6bba,80,81001590,82001603,62363.0,63113.0,,62981.0,True,True,5.3895152843275245,6.9181882111576005,False,wrong_association,0,1,1,0.5539916753768921,7.083210783253595,8.30580087198098,1,1,False,8,15.0,,,,,,medium_low,unavailable,True
6bba_05b6850b,6bba,73,74000692,75000705,5292.0,5363.0,75000705.0,5363.0,True,True,3.350023320814349,4.908737426772795,True,correct,1,0,0,0.5573070049285889,1.625,2.0714766773970688,1,1,False,2,15.0,,,,,,low,unavailable,True
6bba_05b6850b,6bba,34,35000312,36000322,2461.0,2520.0,36000322.0,2520.0,True,True,1.8168052317185792,1.4647552056572457,True,correct,1,0,0,0.5600809454917908,1.625,1.6750116604071743,1,1,False,2,15.0,,,,,,low,unavailable,True
6bba_05db0fb1,6bba,27,28000433,29000451,22048.0,22840.0,29000451.0,22840.0,True,True,1.9902104160113323,0.5745242597140698,True,correct,1,0,0,0.5614282488822937,7.621925609713073,7.198768340834423,1,1,False,8,15.0,,,,,,medium_low,unavailable,True
6bba_05db0fb1,6bba,75,76001474,77001494,58628.0,59284.0,77001494.0,59284.0,True,True,1.6750116604071743,1.1490485194281397,True,correct,1,0,0,0.562224805355072,5.138701197773616,3.374565944310468,1,1,False,6,15.0,,,,,,medium_low,unavailable,True
6bba_05b6850b,6bba,9,10000084,11000093,755.0,836.0,11000093.0,836.0,True,True,3.832554834897995,3.5648292823780494,True,correct,1,0,0,0.5655641555786133,5.138701197773616,3.447145558284419,1,1,False,1,15.0,,,,,,low,unavailable,True
6bba_05b6850b,6bba,57,58000522,59000532,4122.0,4203.0,59000532.0,4203.0,True,True,0.40625,0.40625,True,correct,1,0,0,0.5703110098838806,0.0,0.0,1,1,False,3,15.0,,,,,,low,unavailable,True
6bba_05b6850b,6bba,59,60000543,61000554,4280.0,4356.0,61000554.0,4356.0,True,True,0.8125,0.8125,True,correct,1,0,0,0.571768045425415,0.0,0.0,1,1,False,3,15.0,,,,,,low,unavailable,True
6bba_05db0fb1,6bba,53,54001033,55001055,43161.0,43919.0,55001055.0,43919.0,True,True,5.28125,1.86167137607581,True,correct,1,0,0,0.5733957886695862,3.9804208320226646,1.284675299443404,1,1,False,14,15.0,,,,,,high,unavailable,True
6bba_05db0fb1,6bba,42,43000780,44000800,34519.0,35289.0,44000800.0,35289.0,True,True,0.9084026158592896,2.03125,True,correct,1,0,0,0.5738346576690674,2.8145825622994254,0.8125,1,1,False,15,15.0,,,,,,high,unavailable,True
6bba_05b6850b,6bba,38,39000348,40000356,2695.0,2758.0,40000356.0,2758.0,True,True,5.658407737606049,1.1490485194281397,True,correct,1,0,0,0.5758890509605408,2.29809703885628,3.300390601883359,1,1,False,2,15.0,,,,,,low,unavailable,True
